score,seq,track_id,frame,end_frame,lost,gpr_dist,kf_dist,margin,disp_norm,det_score,sigma,n_obs,file
142.591272289959,MOT17-02-FRCNN,22,72,53,19,1.8001079768308246,59.329131443559056,57.52902346672823,0.32708746392663357,0.23106050491333008,8.494236519701172,50,MOT17-02-FRCNN_t22_f72.json
118.07791272536278,MOT17-02-FRCNN,61,240,219,21,4.087405152653799,53.95339742499542,49.86599227234162,0.37029537055573497,0.12303352355957031,13.740925354407683,59,MOT17-02-FRCNN_t61_f240.json
96.60154785419793,MOT20-05,1604,889,876,13,0.8671078211995683,34.04888355967705,33.181775738477484,0.163163193385249,0.28523385524749756,4.621864324950885,60,MOT20-05_t1604_f889.json
95.85480672304476,MOT17-02-FRCNN,24,269,255,14,4.470462309188675,39.633096825305394,35.16263451611672,0.26092302978795134,0.1772199273109436,9.529187668461544,60,MOT17-02-FRCNN_t24_f269.json
89.40693785301602,MOT17-05-FRCNN,216,388,383,5,3.398518679915847,39.19003482707917,35.79151614716332,0.025919192046493084,0.24424219131469727,9.087491067157236,60,MOT17-05-FRCNN_t216_f388.json
89.40693785301602,MOT17-05-FRCNN,217,388,383,5,3.398518679915847,39.19003482707917,35.79151614716332,0.025919192046493084,0.24424219131469727,9.087491067157236,60,MOT17-05-FRCNN_t217_f388.json
89.10432108359481,MOT20-03,513,34,21,13,1.16527031716723,32.66673268421492,31.50146236704769,0.41859708555516345,0.13693338632583618,5.710853368725261,19,MOT20-03_t513_f34.json
84.77610332542774,MOT20-05,1107,1438,1429,9,8.051406180264904,39.04508680216453,30.993680621899628,0.17199505793688716,0.5407285690307617,5.281400803644157,60,MOT20-05_t1107_f1438.json
84.55777507942665,MOT20-05,1080,1438,1429,9,8.084135522355508,38.97550329298452,30.89136777062901,0.171360831315862,0.5399723052978516,5.278831520746264,60,MOT20-05_t1080_f1438.json
84.55777507942665,MOT20-05,1106,1438,1429,9,8.084135522355508,38.97550329298452,30.89136777062901,0.171360831315862,0.5399723052978516,5.278831520746264,60,MOT20-05_t1106_f1438.json
77.3479012890677,MOT17-02-FRCNN,52,256,239,17,3.958630451835558,29.61189632228719,25.653265870451634,0.24059001015348377,0.4206812381744385,8.54858972667391,60,MOT17-02-FRCNN_t52_f256.json
77.3479012890677,MOT17-02-FRCNN,51,256,239,17,3.958630451835558,29.61189632228719,25.653265870451634,0.24059001015348377,0.4206812381744385,8.54858972667391,60,MOT17-02-FRCNN_t51_f256.json
77.21978290044521,MOT17-02-FRCNN,82,260,238,22,4.323671199555301,34.47916009640232,30.155488896847018,0.07225078978978405,0.26180410385131836,3.0930335455376587,6,MOT17-02-FRCNN_t82_f260.json
77.21978290044521,MOT17-02-FRCNN,89,260,238,22,4.323671199555301,34.47916009640232,30.155488896847018,0.07225078978978405,0.26180410385131836,3.0930335455376587,6,MOT17-02-FRCNN_t89_f260.json
75.29377488087253,MOT20-05,1566,589,579,10,3.913553101910533,28.016282339258733,24.1027292373482,0.11549323861933336,0.36259937286376953,3.8188866301180138,37,MOT20-05_t1566_f589.json
75.13790703293634,MOT20-05,1565,589,579,10,3.9344312517613034,27.966571184684206,24.032139932922902,0.11528694159382721,0.36259937286376953,3.805927764680088,37,MOT20-05_t1565_f589.json
73.3077154015618,MOT20-02,183,547,536,11,1.6090484385127046,22.710225752713523,21.101177314200818,0.10951969294423822,0.19997501373291016,5.828420836016036,60,MOT20-02_t183_f547.json
73.30645509976841,MOT20-02,174,547,536,11,1.6088355113248152,22.709271235504417,21.1004357241796,0.10951936124219908,0.19997501373291016,5.828475865314201,60,MOT20-02_t174_f547.json
67.93742014653405,MOT20-05,1399,349,327,22,2.0704719589245415,27.007751344987167,24.937279386062624,0.2479934176786296,0.14349877834320068,5.680117739802737,47,MOT20-05_t1399_f349.json
66.92272409595637,MOT17-10-FRCNN,280,24,18,6,11.900737096398592,35.736956771882035,23.83621967548344,0.06385482750928634,0.34702980518341064,12.823866595826717,16,MOT17-10-FRCNN_t280_f24.json
66.92272409595637,MOT17-10-FRCNN,284,24,18,6,11.900737096398592,35.736956771882035,23.83621967548344,0.06385482750928634,0.34702980518341064,12.823866595826717,16,MOT17-10-FRCNN_t284_f24.json
66.7338277992926,MOT20-05,1260,53,35,18,1.6413862554955672,21.14390639266333,19.50252013716776,0.1098830962071344,0.3197469711303711,5.362123413351564,10,MOT20-05_t1260_f53.json
65.38239995676213,MOT20-03,763,1117,1087,30,3.4963331504797237,32.531488353412044,29.03515520293232,0.13971924328742613,0.2322239875793457,5.57346197780205,60,MOT20-03_t763_f1117.json
64.26034779177205,MOT17-02-FRCNN,7,153,124,29,3.4930172603730316,31.92230149237065,28.42928423199762,0.18684011372833845,0.1274893879890442,6.778351741451629,60,MOT17-02-FRCNN_t7_f153.json
62.451755385421265,MOT20-03,868,1202,1187,15,2.5159246550474577,17.616711736328355,15.100787081280897,0.041129804069769224,0.16579341888427734,4.82565954356261,60,MOT20-03_t868_f1202.json
62.451755385421265,MOT20-03,849,1202,1187,15,2.5159246550474577,17.616711736328355,15.100787081280897,0.041129804069769224,0.16579341888427734,4.82565954356261,60,MOT20-03_t849_f1202.json
62.44514749468959,MOT20-03,869,1202,1187,15,2.5207998944450867,17.624258385908337,15.10345849146325,0.04136565312639385,0.16579341888427734,4.824954032843171,60,MOT20-03_t869_f1202.json
62.23997832535878,MOT17-02-FRCNN,72,234,227,7,4.242404702721804,22.130103791556547,17.887699088834744,0.11198939387518592,0.21488046646118164,8.28506530377849,31,MOT17-02-FRCNN_t72_f234.json
62.23997832535878,MOT17-02-FRCNN,78,234,227,7,4.242404702721804,22.130103791556547,17.887699088834744,0.11198939387518592,0.21488046646118164,8.28506530377849,31,MOT17-02-FRCNN_t78_f234.json
60.729372268256796,MOT20-05,1283,330,310,20,4.522341310146569,19.53009048088293,15.00774917073636,0.025459492102311663,0.11572265625,4.765971156852392,60,MOT20-05_t1283_f330.json
60.71396130640533,MOT20-03,555,709,682,27,2.1705429566910053,25.43932856743388,23.268785610742874,0.10510223194631355,0.11557602882385254,4.762003456699635,60,MOT20-03_t555_f709.json
60.71396130640533,MOT20-03,571,709,682,27,2.1705429566910053,25.43932856743388,23.268785610742874,0.10510223194631355,0.11557602882385254,4.762003456699635,60,MOT20-03_t571_f709.json
60.68885554455202,MOT20-03,570,709,682,27,2.178390159968693,25.43853128162851,23.260141121659817,0.10510121795996397,0.11574161052703857,4.768053180364331,60,MOT20-03_t570_f709.json
60.62654416521774,MOT20-03,895,1095,1079,16,4.8024665245358635,20.910797345992385,16.108330821456523,0.09292169843864796,0.4311237335205078,5.607193444544702,60,MOT20-03_t895_f1095.json
60.48374204765293,MOT17-11-FRCNN,344,362,360,2,56.652400208321204,98.6203185941008,41.96791838577959,0.048403157463541735,0.4011540412902832,13.083489949708007,60,MOT17-11-FRCNN_t344_f362.json
60.48374204765293,MOT17-11-FRCNN,349,362,360,2,56.652400208321204,98.6203185941008,41.96791838577959,0.048403157463541735,0.4011540412902832,13.083489949708007,60,MOT17-11-FRCNN_t349_f362.json
