seq,n_total,n_classifiable,n_correct,n_wrong,n_unclassified,wrong_rate,lost_duration_correct_med,lost_duration_wrong_med,lost_duration_correct_p75,lost_duration_wrong_p75,gpr_sigma_px_correct_med,gpr_sigma_px_wrong_med,gpr_sigma_px_correct_p75,gpr_sigma_px_wrong_p75,cost_correct_med,cost_wrong_med,cost_correct_p75,cost_wrong_p75,motion_ratio_correct_med,motion_ratio_wrong_med,motion_ratio_correct_p75,motion_ratio_wrong_p75,implied_speed_correct_med,implied_speed_wrong_med,implied_speed_correct_p75,implied_speed_wrong_p75,nearest_active_iou_correct_med,nearest_active_iou_wrong_med,nearest_active_iou_correct_p75,nearest_active_iou_wrong_p75,nearest_active_dist_correct_med,nearest_active_dist_wrong_med,nearest_active_dist_correct_p75,nearest_active_dist_wrong_p75,n_neighbors_correct_med,n_neighbors_wrong_med,n_neighbors_correct_p75,n_neighbors_wrong_p75
MOT20-01,91.0,82.0,71.0,11.0,9.0,0.13414634146341464,2.0,2.0,3.0,5.5,1.8166594371550704,5.506412485647419,4.480309272054677,7.522187340365938,0.167412289658271,0.311819458472209,0.2616615075613537,0.36712386849759604,1.143517297806549,0.6117651911316903,1.6210376095295855,1.1783398373305913,2.410923516518639,2.8074344140624907,4.915734743897093,5.133936634157977,0.4851805815908526,0.5282270403465306,0.6117667526731283,0.6381261791931536,20.685939994104643,23.203995642914844,25.81937621456126,47.04616949024424,1.0,1.0,2.0,1.5
MOT20-02,562.0,512.0,419.0,93.0,50.0,0.181640625,2.0,4.0,4.0,6.0,2.5426975116666704,3.424812723999754,4.831353086879844,6.046007673132023,0.1807205502492209,0.3432543193039257,0.2730324950455494,0.3984244605540008,1.096838179568415,1.4264869500785935,1.709344953066223,2.754079826053082,2.483851755510093,3.598712719221537,4.376034192694267,7.479108339111877,0.5585275743122782,0.5789354441274933,0.6531132913132294,0.6531513023467648,22.11246197464794,21.476536132122785,29.889912508072214,28.557109206579952,1.0,1.0,1.0,1.0
MOT20-03,1167.0,728.0,590.0,138.0,439.0,0.18956043956043955,2.0,3.0,3.0,6.0,1.9266903047365675,1.943826569432403,2.8657148336682967,3.157055653850642,0.23488630348645329,0.31761853745669133,0.34533843123146907,0.400039981705302,1.0362039110346735,1.1183409156234352,2.0313783269658883,2.3220475923692057,1.4680379988202417,1.3444935771284794,2.7331912064573016,3.5979069861075224,0.32847067551306297,0.4614120890400327,0.5162809519963156,0.5986871602707412,19.3026576789973,12.710385413572832,32.325879874945535,17.445229474416266,1.0,1.0,2.0,2.0
MOT20-05,1808.0,1354.0,1141.0,213.0,454.0,0.15731166912850814,2.0,3.0,4.0,5.0,2.6884957401907696,2.997872348006318,4.117127924799237,4.268558190225936,0.2414541069978805,0.35582668341069,0.3433309186241456,0.4091222030810267,1.0342697043117597,1.1933318321550908,1.838642512549862,2.643078417956606,2.1516371489418438,2.6851111701899115,4.0476502187963845,6.708111645976927,0.4654234273882405,0.4965598648535302,0.5727507406664895,0.5903586626650009,25.658642469124764,23.77228846916145,32.61473326172534,30.347583941945924,1.0,1.0,1.0,2.0
ALL,3628.0,2676.0,2221.0,455.0,952.0,0.17002989536621824,2.0,3.0,4.0,6.0,2.4151632452407514,2.7320459508460035,3.893380074252628,4.338220812652292,0.2239838669857258,0.341923583513593,0.3334360467930344,0.404995550785561,1.0436180835867634,1.1817061133490616,1.8456515568549987,2.488112920046676,2.038509323382663,2.485765427032375,3.814780279563477,5.860569977521555,0.4620297964804539,0.5095709408006762,0.5855323950298874,0.6214151342270533,23.56512308692852,19.357961797405288,32.05310324931877,27.47054707874572,1.0,1.0,1.0,2.0
