seq,n_total,n_classifiable,n_correct,n_wrong,n_unclassified,wrong_rate,lost_duration_correct_med,lost_duration_wrong_med,lost_duration_correct_p75,lost_duration_wrong_p75,gpr_sigma_px_correct_med,gpr_sigma_px_wrong_med,gpr_sigma_px_correct_p75,gpr_sigma_px_wrong_p75,cost_correct_med,cost_wrong_med,cost_correct_p75,cost_wrong_p75,motion_ratio_correct_med,motion_ratio_wrong_med,motion_ratio_correct_p75,motion_ratio_wrong_p75,implied_speed_correct_med,implied_speed_wrong_med,implied_speed_correct_p75,implied_speed_wrong_p75,nearest_active_iou_correct_med,nearest_active_iou_wrong_med,nearest_active_iou_correct_p75,nearest_active_iou_wrong_p75,nearest_active_dist_correct_med,nearest_active_dist_wrong_med,nearest_active_dist_correct_p75,nearest_active_dist_wrong_p75,n_neighbors_correct_med,n_neighbors_wrong_med,n_neighbors_correct_p75,n_neighbors_wrong_p75
dancetrack0034,249.0,245.0,205.0,40.0,4.0,0.16326530612244897,1.0,2.0,2.0,4.0,5.506999221246988,7.42091918434604,12.731606735743169,12.963118321370994,0.2623909500021159,0.31647851146799616,0.3540968219431167,0.39165516940144846,1.2723541912674954,0.875713411904967,2.3497783678167496,2.342014125095029,11.36654891137819,14.168826069547121,21.526446654752377,23.01674322550592,0.4519301789446082,0.4937251028450712,0.5594122750196241,0.594803824189277,69.9683948475575,71.58772624562602,96.3669383241344,98.26037269021221,1.0,1.0,1.0,1.25
dancetrack0035,102.0,100.0,75.0,25.0,2.0,0.25,1.0,2.0,2.0,5.0,7.014834924391366,7.297804509847909,12.729354836786873,14.29081282515932,0.2942527054556316,0.3552683899617539,0.3666771345899899,0.4299437777085652,1.3065516434853075,0.9621013669242096,2.245510552380578,3.7441558062537457,12.672277125283037,11.25314413859986,21.90541888117574,25.973541178971928,0.5860631954428172,0.5320170784180623,0.6445151830855824,0.6041663325981684,40.18856389047964,41.06837120422747,49.76023463445593,59.61659652727024,1.0,1.0,1.0,2.0
dancetrack0041,444.0,431.0,274.0,157.0,13.0,0.3642691415313225,1.0,2.0,2.0,4.0,5.193023531082591,6.220704248201462,9.579471531135134,11.705882486092662,0.288906266950383,0.3421002801788215,0.3748058935595807,0.3932347478167858,1.3836435359991328,1.2989210751371356,2.3605211128232755,2.5806174382957794,7.8102579849804155,8.533569314049325,13.955043382976474,16.47630832055877,0.5248972319604082,0.568364228726482,0.6183139007143919,0.6494491353053384,39.920871370689596,34.56029195069285,59.80346237354496,54.82669852767849,1.0,1.0,2.0,2.0
dancetrack0043,55.0,55.0,40.0,15.0,0.0,0.2727272727272727,1.0,2.0,1.0,4.5,4.4743270568164455,6.000336777514902,7.145117555570183,9.711440752758154,0.26353664717060193,0.3383070095912571,0.3404485460183977,0.4067896850338826,1.1801600608888605,1.8803597013068456,1.9252969149332064,3.434720395909602,8.725498182769094,20.32455659725049,17.433436930156788,35.169947909949656,0.3800551048595735,0.5297498526807339,0.48680319048598186,0.5887746981760892,53.96790015667105,45.33614486818573,80.30057185085201,61.01271860245171,1.0,1.0,2.0,1.0
dancetrack0047,183.0,183.0,151.0,32.0,0.0,0.17486338797814208,1.0,1.5,1.0,2.0,6.30185520838091,6.843459633084342,8.467561605090484,9.780879102144642,0.2518370436612466,0.30921645370907014,0.32898094844763665,0.40228124250823993,1.1618048771105245,1.7750739043202155,2.3781961207983473,3.5373805607935775,8.475974199323534,11.48640795340035,14.21999704319322,21.05662137481039,0.4419066262447841,0.5579783570252628,0.5774091947627868,0.6145197050676147,54.96109993122312,36.462398269432605,67.20176322444527,53.71484630811089,2.0,2.0,3.0,2.0
dancetrack0058,50.0,50.0,44.0,6.0,0.0,0.12,1.0,3.0,2.0,3.75,8.781762142272997,11.001927996441395,13.517537102934138,16.172989178508008,0.2565373485143607,0.3074048925924503,0.3295876541971157,0.34702938630408625,1.5265431027487342,0.5226806264534084,2.432926162322801,1.215247581069512,13.60164536087908,8.357028481098641,20.513354881690645,16.99293467260931,0.49353420731809283,0.5535469793952256,0.604670790923936,0.6027133004492402,45.32016608052065,43.4938829451401,56.05829410681913,54.77255842444312,1.0,1.0,1.25,1.75
dancetrack0063,285.0,226.0,182.0,44.0,59.0,0.19469026548672566,1.0,1.0,2.0,2.0,9.821946391685636,10.81977749537792,16.23291193863856,16.903098396151464,0.3168589578387824,0.35681478855644133,0.39344545843741924,0.39108479285010533,1.1184222916193807,1.3306908340123393,2.1698131356048087,2.2429560120855525,17.122887833605606,20.31901737484357,34.59414174234524,36.501063791407404,0.47404333722551145,0.4781759532304405,0.5807432522118599,0.5738636769539892,73.12838760902042,72.05356993932645,121.69758421428654,101.33630162210449,2.0,2.0,2.75,4.0
dancetrack0065,14.0,14.0,9.0,5.0,0.0,0.35714285714285715,1.0,1.0,1.0,2.0,9.508493950649305,17.295717624252426,19.25774509875759,23.293678768458044,0.3692260050107281,0.3764564352499048,0.4121264742885537,0.3845228557713545,2.550697250915053,2.0814937234518918,2.699720851353188,3.1978016624566448,19.327268069186577,26.871791566908616,37.921844109238975,38.44355369533053,0.4624486697228322,0.6530415867588102,0.5719933188052057,0.6784671169935831,73.68789389823819,32.39507241163093,76.61641902600486,36.071024071709786,2.0,2.0,2.0,2.0
dancetrack0073,151.0,149.0,112.0,37.0,2.0,0.2483221476510067,1.0,1.0,1.0,2.0,8.272836895914889,12.112675764340477,13.51171359610461,15.871195073579946,0.17984992142475095,0.2902661404712601,0.25143596528333456,0.3509733920723791,1.2788454636443563,1.7689221437437426,2.3573317063079484,3.107862347536881,10.60673813374119,18.554993048159623,20.144376141215776,27.81149946116046,0.46210109497724405,0.5719989029807134,0.5900300244290865,0.6441166509346633,69.19964272088396,67.63934111075518,91.13052697626566,90.31928071981244,1.0,2.0,2.0,3.0
dancetrack0077,32.0,31.0,30.0,1.0,1.0,0.03225806451612903,1.0,1.0,2.0,1.0,5.563476551952414,9.528120532669906,15.979106811931674,9.528120532669906,0.1638768809211897,0.2507551606851727,0.24979140627894353,0.2507551606851727,1.3521424719959594,1.9171196317753616,3.2791263392859373,1.9171196317753616,6.531351792215268,45.48475083189837,12.048671098645617,45.48475083189837,0.559062779221692,0.6794250055659318,0.625331842791917,0.6794250055659318,70.67626186038869,62.85459044140852,75.37059594300705,62.85459044140852,1.0,2.0,2.0,2.0
dancetrack0079,70.0,70.0,56.0,14.0,0.0,0.2,2.0,2.0,3.0,3.0,3.9604517509216035,4.0070690475133715,6.0241919163943685,11.896363564964608,0.3489138646276583,0.3322611852767057,0.4061482380049175,0.43063135117513207,1.8212568004867231,0.7824805987239778,2.8546733174303283,3.062403616970259,8.283694429090616,6.164113896667875,14.681549737952283,9.240099328633107,0.5427995924188191,0.5836945794118974,0.5974649763126922,0.6174456931592642,38.90091432047721,31.622788230293352,49.488648460651056,44.08335053038228,1.0,1.0,2.0,1.0
dancetrack0081,175.0,172.0,143.0,29.0,3.0,0.1686046511627907,1.0,3.0,2.0,5.0,3.3102268256737,4.050939840857951,4.847699286391848,10.751738642969425,0.2682674993733558,0.3238531634204837,0.3621084737775788,0.3919037389761114,1.1828736909968416,0.9525844492418134,2.1341358151079706,2.4785107626717826,4.999736825278899,5.111272043937053,9.48399920559962,10.273023111888536,0.5347370568053059,0.5997576263080102,0.6283856088182952,0.6456756160252892,23.67976890780912,22.52030859159581,38.917969067591045,28.599048684583096,1.0,1.0,2.0,2.0
dancetrack0090,396.0,394.0,341.0,53.0,2.0,0.13451776649746192,1.0,2.0,1.0,4.0,6.022852672534797,7.273988162464104,8.97197418067724,9.680156239215686,0.2352622180081521,0.3267739729677285,0.3444172209710296,0.3955655591536632,1.3089576487653385,1.011777502057738,2.5743602771732155,2.1333167443523977,9.320428812747418,9.308241201746204,17.324277629140553,19.6030932275034,0.4503867300247175,0.4955328659419561,0.5473548565168612,0.639614674127268,53.16765056729402,47.98169085044394,80.88631550605912,71.69061193249541,1.0,1.0,2.0,2.0
dancetrack0094,345.0,330.0,269.0,61.0,15.0,0.18484848484848485,1.0,2.0,1.0,4.0,4.847445147750774,6.179085524821442,7.079869267909787,10.36758139564084,0.2708417624680727,0.3417397216891212,0.3615859788345057,0.392438497544768,1.208942540616856,1.2641051201615012,2.3053992734011253,2.477446844709851,8.537590221262152,11.598598812559771,15.546492362696071,22.71941068724093,0.4220476943589741,0.4677934500602557,0.5334665600042491,0.6405456927043303,48.73485218353834,37.74941330440591,65.13196903783164,60.683937653595,1.0,1.0,2.0,2.0
dancetrack0097,10.0,10.0,4.0,6.0,0.0,0.6,2.0,3.5,2.25,4.0,5.886763773055176,7.01773663136445,12.438581057906468,9.9811093105262,0.16269188052786188,0.3828800269260403,0.2380910985714064,0.39237592679378785,2.551791575942582,0.5827946141681242,2.7780800775860013,1.160347490515417,16.3481240184926,7.4722922497315665,29.13642845201136,10.149061249663292,0.6203145062873741,0.5985806752101777,0.632313450631111,0.6318084386232328,62.54962869108819,52.139399999439654,77.79504195802414,62.79928955140062,1.0,1.0,1.0,1.0
ALL,3293.0,3165.0,2456.0,709.0,128.0,0.2240126382306477,1.0,2.0,2.0,3.0,5.760472039206411,7.257342652377388,9.901814954386326,12.03294569112436,0.2712259954031988,0.3332450501680374,0.3624785755976386,0.392438497544768,1.2783588022345191,1.262616224011485,2.3679667729414535,2.5806174382957794,9.082608164071512,10.243878594613909,17.457181308762358,21.106934402023917,0.47683761449443895,0.5353092727488606,0.5878935120660491,0.6245958509862999,48.73579163379756,40.48718481560499,72.49719252704638,61.376103913898376,1.0,1.0,2.0,2.0
